# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1789639039641000000,1789639041220000000,0
cacheStateStorage.set.counter,1789639039641000000,1789639041220000000,0
cacheStateStorage.set.duration,1789639039641000000,1789639041220000000,0
cacheStateStorage.get.counter,1789639039641000000,1789639041220000000,1
WriteAction.executionsCount,1789639039641000000,1789639041220000000,0
ReadAction.executionsCount,1789639039641000000,1789639041220000000,1
VFS.fileChildByName,1789639039641000000,1789639041220000000,0
VFS.fileByIdCache.misses,1789639039641000000,1789639041220000000,0
VFS.fileByIdCache.hits,1789639039641000000,1789639041220000000,0
VFS.folderCaseSensitivityReads,1789639039641000000,1789639041220000000,0
VFS.rootsCount,1789639039641000000,1789639041220000000,0.0
VFS.invertedFileNameIndex.requests,1789639039641000000,1789639041220000000,0
DiskQueryRelay.tasksExecuted,1789639039641000000,1789639041220000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1789639039641000000,1789639041220000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1789639039641000000,1789639041220000000,0
DiskQueryRelay.tasksRequested,1789639039641000000,1789639041220000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1789639039641000000,1789639041220000000,0
Indexing.totalTimeIndexersSleptMs,1789639039641000000,1789639041220000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1789639039641000000,1789639041220000000,0
Indexing.writesQueuedMax,1789639039641000000,1789639041220000000,0
Indexing.cache.totalCacheEvicted,1789639039641000000,1789639041220000000,0
Indexing.writesQueuedMin,1789639039641000000,1789639041220000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1789639039641000000,1789639041220000000,0
Indexing.cache.totalCacheMisses,1789639039641000000,1789639041220000000,0
Indexing.cache.totalCacheAccesses,1789639039641000000,1789639041220000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1789639039641000000,1789639041220000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1789639039641000000,1789639041220000000,41959424
StorageLockContext.competingThreads.90P,1789639039641000000,1789639041220000000,0
FilePageCache.uncachedFileAccess,1789639039641000000,1789639041220000000,222
DirectByteBufferAllocator.hits,1789639039641000000,1789639041220000000,5
FileChannelInterruptsRetryer.totalRetriedAttempts,1789639039641000000,1789639041220000000,0
FilePageCache.disposedBuffers,1789639039641000000,1789639041220000000,162
FilePageCache.totalPageDisposalsUs,1789639039641000000,1789639041220000000,1371
FilePageCache.pageLoadsAboveSizeThreshold,1789639039641000000,1789639041220000000,0
DirectByteBufferAllocator.misses,1789639039641000000,1789639041220000000,157
MappedFileStorage.totalBytesMapped,1789639039641000000,1789639041220000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1789639039641000000,1789639041220000000,41959424
DirectByteBufferAllocator.disposed,1789639039641000000,1789639041220000000,115
FilePageCache.maxRegisteredFiles,1789639039641000000,1789639041220000000,431
MappedFileStorage.storages,1789639039641000000,1789639041220000000,0
FilePageCache.totalPageLoadsUs,1789639039641000000,1789639041220000000,295660
StorageLockContext.competingThreads.avg,1789639039641000000,1789639041220000000,0.0
FilePageCache.pageFastCacheHits,1789639039641000000,1789639041220000000,10961
FilePageCache.capacityInBytes,1789639039641000000,1789639041220000000,629145600
FilePageCache.pageLoads,1789639039641000000,1789639041220000000,162
FilePageCache.maxCacheSizeInBytes,1789639039641000000,1789639041220000000,162545664
StorageLockContext.competingThreads.max,1789639039641000000,1789639041220000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1789639039641000000,1789639041220000000,358348
FilePageCache.pageHits,1789639039641000000,1789639041220000000,0
MappedFileStorage.totalPagesMapped,1789639039641000000,1789639041220000000,0
DirectByteBufferAllocator.reclaimed,1789639039641000000,1789639041220000000,47
